Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
2509c13c-05b0-4afc-9bb7-70c3b681b830,2024-02-04,2024-04-18,First Class,b6156f03-6e27-4df0-875e-8e86623787b7,Corporate,South Leonardburgh,New Mexico,South,Office Supplies,Chairs,Impact Product,296.3,4,0.43,223.2
c36b7c8b-c050-4ca2-bb93-903aab24b030,2024-09-01,2024-06-06,Same Day,f10fcd7b-eb79-44c7-b138-732315806eed,Home Office,Thomasshire,Florida,East,Furniture,Phones,Town Product,316.71,6,0.16,169.43
a4bc6b4c-1802-4c3b-a6c1-97c2892d3aef,2024-03-26,2024-03-25,Standard Class,be698f46-7ef1-4214-9009-68e1ce86149f,Consumer,East Kendra,Tennessee,East,Technology,Bookcases,West Product,257.46,8,0.43,190.21
1ff5e8c0-c83c-4708-8d32-49e19782aa08,2024-07-06,2024-08-01,First Class,af555b5f-a200-44e1-9da4-8f8c7fd13c43,Consumer,Annaberg,Illinois,East,Technology,Phones,Range Product,519.86,3,0.02,484.83
5b1ead7f-98f0-4e6a-8d77-bba99b8dda28,2024-07-09,2024-02-11,First Class,8dd2ecba-3c85-4a31-bf39-c21463ed6eb2,Consumer,Lake Tylerstad,Maine,West,Office Supplies,Phones,Plant Product,540.2,1,0.02,341.22
8197ee66-6ce6-4a13-90bd-c73caa2237e4,2024-05-07,2024-01-16,Same Day,23d2d1c2-2aac-4dbf-b01a-53251dd9644a,Consumer,Stevenville,Mississippi,South,Furniture,Appliances,Simple Product,363.32,3,0.31,-125.61
7b155454-f030-4ded-9928-337345f7eacb,2024-01-06,2024-04-05,Standard Class,2d8ffc04-3fb9-464f-962e-ba898d14ff88,Consumer,Vasquezview,New Hampshire,East,Furniture,Chairs,More Product,360.25,3,0.03,344.9
ddf5dacd-0e46-4514-896c-40099fb645c7,2024-02-18,2024-08-09,Standard Class,d0d58e7e-6e5d-4296-a1b4-3eede3ee0866,Consumer,Smithfurt,Alabama,South,Furniture,Paper,New Product,830.27,5,0.16,-80.62
f1e11cc6-d174-4fc2-8e1d-fefe1ede97e3,2024-06-18,2024-03-25,First Class,53d5453d-91c0-4475-9a9a-e39d9a86ec45,Consumer,Angelaland,North Dakota,West,Office Supplies,Appliances,Eight Product,791.4,4,0.34,113.15
588f27b3-bf84-4b13-9e83-f0d76325b49c,2024-09-17,2024-08-29,Second Class,1f875c5f-9bff-4ef1-af12-92575bd52852,Corporate,East Larry,Missouri,East,Furniture,Phones,Son Product,314.72,4,0.17,-52.68
c100014e-d3af-4cd3-9201-b8cc5511bb59,2024-09-03,2024-03-12,First Class,be0e6cb7-5ee2-4253-8432-c342130f3dce,Home Office,Lake Shariland,Ohio,Central,Office Supplies,Accessories,Enter Product,914.65,9,0.09,282.71
84767ce4-634e-41db-b107-7e65cd413700,2024-05-09,2024-01-22,First Class,5b0fa62a-d29a-4098-88a3-0f5969c56a20,Consumer,Greenfurt,Idaho,West,Office Supplies,Paper,Employee Product,953.29,7,0.14,414.12
bcf040aa-8112-43ba-bd6d-fe349be1bc5b,2024-10-01,2024-05-02,First Class,b6e8abf5-2ba3-4d4a-b595-ba3ce7a4dbc7,Corporate,West Jacquelinechester,Kentucky,Central,Office Supplies,Paper,Dream Product,333.48,4,0.23,3.25
8befd8b0-7a9d-4a45-b237-fe04cd6e3e29,2024-02-16,2024-02-04,First Class,f35e25dd-6570-41a1-b237-247d5cff583f,Corporate,East David,Utah,South,Technology,Chairs,Example Product,360.88,3,0.24,-142.59
6885870c-ea5c-45a3-8483-d7b260161a13,2024-10-28,2024-01-03,Same Day,11b80ef7-b7df-41d0-b1df-0d3342a84fe1,Home Office,East Aaron,Florida,South,Furniture,Storage,This Product,510.58,6,0.39,8.95
8c97dd03-0349-4639-b881-b5763791d707,2024-04-06,2024-07-15,Standard Class,a6417192-e8bd-49a2-89a4-f3af570b0254,Consumer,Davidport,Oregon,West,Furniture,Tables,Fish Product,941.71,3,0.38,270.65
28713abf-4dca-4338-bf19-0a3ec160782f,2024-08-13,2024-07-12,Same Day,0b44d5a8-3b93-44fd-a209-214c4b757d4f,Home Office,Whitechester,Hawaii,South,Office Supplies,Tables,Explain Product,877.56,6,0.23,30.13
ca466a50-bb6d-407b-be20-36d9fcdeae41,2024-05-28,2024-09-25,Same Day,6e98d502-ba65-4e6a-a614-212256100e95,Consumer,Jacobfurt,Wyoming,Central,Office Supplies,Tables,Name Product,111.54,9,0.42,-5.32
a1f08c6a-b6fd-4359-a111-c656644fff57,2024-01-14,2024-01-10,Same Day,69df5498-7693-4fb8-bb31-cbe077700d19,Corporate,New Rogertown,Ohio,East,Furniture,Storage,Win Product,398.8,6,0.06,-70.9
ff9506b5-56e5-4421-8767-f3e5994bbd6f,2024-03-24,2024-10-14,First Class,ad3a1f83-c8a8-44ad-ad87-0873f5f88f4f,Corporate,Jessicaton,Hawaii,East,Office Supplies,Chairs,Perform Product,557.84,4,0.13,148.26
709c2fb6-fdec-43da-b626-82b3c09b73e0,2024-04-02,2024-08-16,Second Class,0278084a-8624-40d8-a00e-6d86d152bf84,Corporate,New Jeffreyside,Nevada,East,Furniture,Storage,Ok Product,508.1,5,0.41,-6.84
420f447c-b0cd-4225-af63-b42512108e03,2024-09-10,2024-07-07,Standard Class,b96e0b40-64d5-443f-82b0-4c18210bce2d,Corporate,South Tonya,Kansas,West,Technology,Tables,Drive Product,201.92,6,0.19,311.71
8f5b7ca8-d34d-4be2-bad6-17d3affed1a5,2024-01-23,2024-02-14,Second Class,90855f8d-f25c-49ed-9a7a-66f71c2ba8f6,Home Office,Smithfort,Georgia,South,Office Supplies,Appliances,Social Product,860.23,3,0.49,-146.36
7a666354-7f24-4d09-ad6e-b9614b2d4c15,2024-10-24,2024-07-04,Same Day,8d4b170b-7875-4c10-bf47-37b1d35090d1,Consumer,Johnburgh,Virginia,Central,Furniture,Bookcases,Again Product,680.17,8,0.23,264.82
5f1ef312-3ac3-4535-8a90-be043629bbd4,2024-01-06,2024-03-31,Same Day,7afe32ac-a500-4c75-99ef-d0db70bb6989,Consumer,Jeffshire,Maine,South,Office Supplies,Phones,Professor Product,839.53,4,0.4,-33.71
